,Ticker
3825,CODA
3826,WRAP
3827,GALT
3828,OTRK
3829,EVER
3830,THOR
3831,SIC
3832,NBEV
3833,ALEC
3834,PKDC
3835,CVM
3836,MRNA
3837,DSSI
3838,AIRG
3839,INSG
3840,MRKR
3841,KLDO
3842,BALY
3843,BLFS
3844,MMAC
3845,BYND
3846,CTRCQ
3847,TMDX
3848,MDB
3849,9995588D
3850,YCBD
3851,PNRG
3852,LXFR
3853,DTIL
3854,ENOB
3855,TRNS
3856,TESS
3857,WTRE
3858,EYPT
3859,NRCG
3860,CMLS
3861,GTYH
3862,SOLY
3863,GOSS
3864,LYFT
3865,HARP
3866,ZUO
3867,BSGM
3868,YGYI
3869,ROAN
3870,CTRA
3871,BYSI
3872,ALOT
3873,ATEC
3874,OPRX
3875,ORGO
3876,ATUS
3877,HWBK
3878,SFIX
3879,APPN
3880,ZYXI
3881,MEIP
3882,CMCT
3883,JHG
3884,EVFM
3885,OEC
3886,FOXA
3887,FOX
3888,PLMR
3889,TPTX
3890,GWGH
3891,RRBI
3892,LEGH
3893,AM
3894,PD
3895,SWAV
3896,ARES
3897,MNRL
3898,HOOK
3899,GNLN
3900,TCRR
3901,1855568D
3902,NGM
3903,SILK
3904,CERC
3905,PSN
3906,CKPT
3907,KRYS
3908,TEUM
3909,WTRH
3910,SPFI
3911,CRTX
3912,NXTC
3913,AXLA
3914,BTAI
3915,CRK
3916,HFFG
3917,CRD/A
3918,UBER
3919,VRRM
3920,IDEX
3921,ROAD
3922,IMXI
3923,EXPI
3924,PAYS
3925,SONM
3926,PHUN
3927,FRAF
3928,SPOT
3929,TH
3930,SHSP
3931,SMAR
3932,BBCP
3933,VIR
3934,HBT
3935,AMK
3936,SI
3937,OYST
3938,NVST
3939,IGMS
3940,PBFS
3941,ETNB
3942,XGN
3943,PING
3944,PNTG
3945,BRBR
3946,PROS
3947,CRNC
3948,OPRT
3949,KRUS
3950,MCBS
3951,APRE
3952,VIE
3953,PHAT
3954,SWTX
3955,ALRS
3956,CNTG
3957,GO
3958,PSNL
3959,PRVL
3960,BCEL
3961,AKRO
3962,PHR
3963,FULC
3964,MIRM
3965,MDLA
3966,RAPT
3967,CFB
3968,AVTR
3969,APLT
3970,CSTL
3971,LVGO
3972,HCAT
3973,NOVA
3974,CMBM
3975,RMBI
3976,CHNG
3977,ADPT
3978,MORF
3979,BBIO
3980,VIACA
3981,REAL
3982,KRTX
3983,DT
3984,BRP
3985,PGNY
3986,FREQ
3987,1777062D
3988,BXRX
3989,CABA
3990,STOK
3991,MSON
3992,STSA
3993,GRTX
3994,CFRX
3995,PINE
3996,RLMD
3997,RDVT
3998,NMRD
3999,SAL
4000,GSKY
4001,TELA
4002,BSBK
4003,ORIC
4004,PACK
4005,ASPU
4006,GNSS
4007,BDTX
4008,ALTG
4009,SEDG
4010,VRT
4011,IHRT
4012,ELA
4013,BILL
4014,ZNTL
4015,PAE
4016,IDN
4017,REYN
4018,ONEM
4019,ARQT
4020,ICAD
4021,XPEL
4022,LAKE
4023,GDYN
4024,SPT
4025,PCTI
4026,IMVT
4027,REFR
4028,SNFCA
4029,IAC
4030,MTCH
4031,ODP
4032,VERU
4033,SMED
4034,DDOG
4035,AYTU
4036,CSBR
4037,SPCE
4038,ULBI
4039,VERY
4040,AMCR
4041,ASPN
4042,APG
4043,HROW
4044,CG
4045,1812344D
4046,PLBC
4047,AWH
4048,GNPX
4049,LARK
4050,OESX
4051,FSLY
4052,STXS
4053,CODX
4054,KRMD
4055,NSCO
4056,KROS
4057,GRWG
4058,XAIR
4059,RPAY
4060,AHCO
4061,ALSK
4062,CMCL
4063,ATLC
4064,CRWD
4065,ARCT
4066,NLTX
4067,RESN
4068,CIZN
4069,PRVB
4070,EBMT
4071,RVP
4072,GSB
4073,NBSE
4074,STND
4075,LUNA
4076,SLNO
4077,BRMK
4078,MYFW
4079,BEAM
4080,CSPR
4081,SDGR
4082,PPD
4083,LYRA
4084,DYAI
4085,SWKH
4086,KKR
4087,XCUR
4088,MSGE
4089,IDYA
4090,ETON
4091,VNRX
4092,TW
4093,PINS
4094,OVV
4095,ZM
4096,AMRK
4097,COFS
4098,PFHD
4099,ONEW
4100,PTON
4101,INFU
4102,IMRA
4103,BCLI
4104,VXRT
4105,DMTK
4106,VVNT
4107,SBFG
4108,GAN
4109,PRTS
4110,KERN
4111,PWFL
4112,MLSS
4113,CALB
4114,IBIO
4115,MHH
4116,PANL
4117,MIME
4118,ELMD
4119,SAVA
4120,PTRS
4121,MRBK
4122,LMST
4123,PLYM
4124,PRMW
4125,PAVM
4126,ATXI
4127,APO
4128,TXG
4129,APT
4130,ATOM
4131,SITM
4132,ACEL
4133,NRBO
4134,BIPC
4135,VMD
4136,CARR
4137,OTIS
4138,ARNC
4139,SMSI
4140,NET
4141,RVMD
4142,WORK
4143,STNE
4144,PASG
4145,CEMI
4146,ORGS
4147,BLPH
4148,DNB
4149,PSTX
4150,NKTX
4151,MEG
4152,OM
4153,ITOS
4154,INZY
4155,NRIX
4156,ANNX
4157,STTK
4158,KRON
4159,SPRB
4160,STEP
4161,FROG
4162,MTCR
4163,GATO
4164,MAX
4165,AKUS
4166,BDSX
4167,ACI
4168,AZEK
4169,BNL
