,Ticker
1700,CHSP
1701,DBD
1702,PEB
1703,DCI
1704,GNRC
1705,ESE
1706,ESL
1707,CLDT
1708,FSS
1709,FCF
1710,TRNO
1711,AJRD
1712,SIR
1713,HAE
1714,HE
1715,MTH
1716,HMN
1717,UBA
1718,SEMG
1719,HUBB
1720,IDA
1721,IEX
1722,INT
1723,AXE
1724,GXP
1725,IL
1726,KMT
1727,LZB
1728,LDL
1729,PLOW
1730,MDC
1731,ALE
1732,MLI
1733,NFG
1734,NPK
1735,NJR
1736,ACW
1737,OGE
1738,TOWR
1739,OLN
1740,OMI
1741,GNMK
1742,DOOR
1743,OXM
1744,BLMT
1745,PKE
1746,AFG
1747,QLIK
1748,PVH
1749,PNY
1750,THR
1751,PCH
1752,RJF
1753,TVIAQ
1754,RLI
1755,ROL
1756,SQI
1757,NGHC
1758,COR
1759,SWX
1760,NDLS
1761,SMP
1762,UNVR
1763,CAA
1764,KEYW
1765,AMD
1766,SXI
1767,BAH
1768,QRVO
1769,AL
1770,SF
1771,MSGS
1772,RGR
1773,THO
1774,ZG
1775,TTC
1776,TG
1777,UGI
1778,UNF
1779,UNTCQ
1780,SXT
1781,UHT
1782,UVV
1783,WGL
1784,AVA
1785,WRI
1786,WST
1787,CTRL
1788,WWW
1789,CBRL
1790,HNI
1791,KELYA
1792,BBRG
1793,SC
1794,MLHR
1795,SON
1796,ESND
1797,ESI
1798,AAON
1799,VRNT
1800,ABAX
1801,ARCB
1802,ZLTQ
1803,ACAT
1804,AVD
1805,TVTY
1806,AIRM
1807,9990408D
1808,ATNI
1809,AZZ
1810,BEAV
1811,BELFB
1812,CBKCQ
1813,BIO
1814,BKE
1815,CNR
1816,STAG
1817,CTLT
1818,BMI
1819,SYF
1820,BRC
1821,INN
1822,CGIPQ
1823,CATO
1824,USCR
1825,CAKE
1826,AAT
1827,CASY
1828,CHEF
1829,CATY
1830,CBM
1831,CBU
1832,1847942D
1833,CDR
1834,CENTA
1835,CGNX
1836,CHCO
1837,FRP
1838,CLH
1839,CMTL
1840,CNMD
1841,CMD
1842,COHU
1843,COLB
1844,AMTG
1845,BH
1846,WAIR
1847,GNE
1848,CRUS
1849,CRVL
1850,AFAM
1851,ASNAQ
1852,DGII
1853,FRC
1854,DIOD
1855,DNKN
1856,RDUS
1857,RSE
1858,LCII
1859,ABCD
1860,WEN
1861,EGP
1862,EZPW
1863,EXPO
1864,FMER
1865,FELE
1866,FFBC
1867,FBP
1868,FICO
1869,SPNX
1870,FMBI
1871,FREDQ
1872,FUL
1873,FULT
1874,GBCI
1875,GVA
1876,GK
1877,KCG
1878,GNTX
1879,HVT
1880,HWC
1881,HCSG
1882,HELE
1883,HWKN
1884,ICUI
1885,MODN
1886,IDXX
1887,TILE
1888,DIN
1889,IIVI
1890,INDB
1891,BLUE
1892,TRCO
1893,AEGN
1894,GFF
1895,IVC
1896,IPAR
1897,ITG
1898,JJSF
1899,KEX
1900,VIVO
1901,KOPN
1902,ANET
1903,LANC
1904,LAWS
1905,LDR
1906,LXU
1907,CMRX
1908,PRA
1909,MEI
1910,MMSI
1911,MSA
1912,MNRO
1913,MOG/A
1914,RT
1915,MCS
1916,MCY
1917,MTRX
1918,MTSC
1919,MYE
1920,ONTO
1921,NAVG
1922,NBTB
1923,NEOG
1924,JONEQ
1925,NVR
1926,EVTC
1927,NWN
1928,ODFL
1929,BRSWQ
1930,RLGT
1931,CUZ
1932,PEI
1933,AGYS
1934,SFBS
1935,1448021D
1936,PLXS
1937,CRCM
1938,POWL
1939,PSB
1940,KWR
1941,NXGN
1942,RBC
1943,REGN
1944,RGS
1945,OFC
1946,UEIC
1947,DLTH
1948,ROG
1949,RPM
1950,SAFM
1951,SCHL
1952,SCL
1953,SMG
1954,SENEA
1955,SFNC
1956,SHLM
1957,ICON
1958,SIGI
1959,CMO
1960,SIGM
1961,STC
1962,SIVB
1963,SMTC
1964,SMRTQ
1965,LEN/B
1966,PII
1967,TLN
1968,BLBD
1969,PCTY
1970,STBA
1971,AWR
1972,TNC
1973,HQY
1974,LMNR
1975,TMP
1976,TECH
1977,CLDX
1978,TFX
1979,ADVM
1980,SGMS
1981,BLX
1982,TRMB
1983,TRST
1984,TTI
1985,UBSI
1986,ARW
1987,UFCS
1988,PAHC
1989,KMPR
1990,HEI/A
1991,PTCT
1992,1731877D
1993,VMI
1994,VICR
1995,ZOES
1996,VOXX
1997,DX
1998,TTEK
1999,WTS
2000,WBS
2001,WDFC
2002,WERN
2003,WAFD
2004,JW/A
2005,WIRE
2006,WRLD
2007,WSO
2008,ZBRA
2009,SKT
2010,SIG
2011,OHI
2012,TCO
2013,LFUS
2014,SM
2015,CHUY
2016,BBOX
2017,APTS
2018,CRY
2019,AKR
2020,PERY
2021,RGA
2022,CVEO
2023,GEF
2024,PPS
2025,BYD
2026,MCRI
2027,MOV
2028,UTEK
2029,BFS
2030,MHO
2031,ROCK
2032,VSLR
2033,AVID
2034,UFPI
2035,LXP
2036,HRTH
2037,FFIN
2038,FWRD
2039,HAIN
2040,MAA
2041,FEIC
2042,SHOO
2043,TSCO
2044,MED
2045,AF
2046,DAKT
2047,ALB
2048,TBI
2049,CRDF
2050,DSPG
2051,BPFH
2052,MINI
2053,DAR
2054,SCSC
2055,EXP
2056,OUTR
2057,HIW
2058,CALM
2059,SSD
2060,ESS
2061,ISCA
2062,GEO
2063,MATW
2064,HW
2065,CLI
2066,WIBC
2067,TK
2068,9876444D
2069,O
2070,IMAX
2071,OREXQ
2072,NWBI
2073,VECO
2074,ANDE
2075,SLGN
2076,BRKS
2077,ACIW
2078,RCII
2079,NATI
2080,LGF/A
2081,MPG
2082,SVC
2083,IART
2084,IBOC
2085,NAT
2086,POOL
2087,MD
2088,CENX
2089,AEIS
2090,CSGS
2091,CRRTQ
2092,VMW
2093,TTEC
2094,DCOM
2095,LORL
2096,THG
2097,GEOS
2098,PRXL
2099,SWM
2100,HOPE
2101,HAFC
2102,MCF
2103,ATRS
2104,STRA
2105,MASI
2106,HIBB
2107,RASFQ
2108,CHMA
2109,NCI
2110,AMSF
2111,MFA
2112,TGI
2113,FOGO
2114,MB
2115,UNFI
2116,HLX
2117,WTFC
2118,FORR
2119,VSAT
2120,LAD
2121,OLLI
2122,RSTI
2123,KRC
2124,DEL
