,Ticker
1275,TUESQ
1276,CNO
1277,RTEC
1278,FGL
1279,IBP
1280,FLDM
1281,ETH
1282,MPSX
1283,CIEN
1284,WR
1285,VOLT
1286,WBA
1287,DMTX
1288,MAR
1289,CNCE
1290,CDNS
1291,JOE
1292,TYL
1293,UHS
1294,SWKS
1295,ATVI
1296,HFC
1297,JKHY
1298,KPTI
1299,PDLI
1300,PRGS
1301,RGLD
1302,SNPS
1303,ARRS
1304,CUDA
1305,PTEN
1306,SCHN
1307,RS
1308,ADTN
1309,HSIC
1310,ANSS
1311,FDS
1312,PLCM
1313,ROVI
1314,XRM
1315,AMG
1316,TTWO
1317,JLL
1318,MSTR
1319,SBAC
1320,ON
1321,ORA
1322,MDRX
1323,CRL
1324,BWXT
1325,BLKB
1326,HIL
1327,OIS
1328,BG
1329,ALR
1330,9998865D
1331,XRX
1332,HPR
1333,CE
1334,KBR
1335,SXC
1336,HII
1337,GT
1338,ROX
1339,PNM
1340,SFS
1341,MDLY
1342,TWTR
1343,CFG
1344,CFR
1345,FCFS
1346,PB
1347,EVC
1348,LYV
1349,WMS
1350,CVGI
1351,AMSWA
1352,COO
1353,MAN
1354,OII
1355,VHI
1356,VSH
1357,TECD
1358,ATR
1359,LVLT
1360,RMD
1361,LAZ
1362,MTD
1363,BMRN
1364,SPWR
1365,IHS
1366,BECN
1367,WWAV
1368,VPG
1369,NATL
1370,WAL
1371,PINC
1372,TAST
1373,SHO
1374,MHGC
1375,CHD
1376,DRE
1377,GBNK
1378,FRT
1379,MDU
1380,MGM
1381,9995522D
1382,TFCF
1383,TOL
1384,ANCX
1385,AMWD
1386,TBBK
1387,EV
1388,FOSL
1389,JBHT
1390,LRCX
1391,FCH
1392,MHK
1393,CBMG
1394,PNR
1395,AAWW
1396,SEIC
1397,VRTX
1398,TARA
1399,TVPT
1400,CAVM
1401,CREE
1402,REG
1403,NYCB
1404,WMGI
1405,LTRPA
1406,RYN
1407,LPT
1408,JOUT
1409,SCCO
1410,LGIH
1411,OCLR
1412,AAOI
1413,ACGL
1414,DISH
1415,FB
1416,ALXN
1417,RE
1418,AMTD
1419,NLY
1420,ICFI
1421,KNL
1422,FLOW
1423,CCI
1424,CLR
1425,AAP
1426,ILMN
1427,LNKD
1428,HCHC
1429,SEM
1430,DLB
1431,EPC
1432,MRVL
1433,DRII
1434,SAIC
1435,GRMN
1436,9876588D
1437,XEC
1438,HLF
1439,VMEMQ
1440,DLR
1441,LVS
1442,ULH
1443,STRZA
1444,FLT
1445,CXO
1446,LULU
1447,EXLS
1448,AWK
1449,CUBI
1450,CPN
1451,GM
1452,CIT
1453,KMI
1454,RNG
1455,ARAY
1456,KALV
1457,AX
1458,WBMD
1459,UBNK
1460,NWSA
1461,ORI
1462,GLDD
1463,OCUL
1464,LOCO
1465,HTWR
1466,VEC
1467,XNPT
1468,OFLX
1469,CORE
1470,TDS
1471,SGI
1472,TPLMQ
1473,VR
1474,GSM
1475,NXST
1476,CTRN
1477,HSC
1478,ZVO
1479,TFSL
1480,9876533D
1481,CLGX
1482,NNA
1483,MYGN
1484,DST
1485,EPEGQ
1486,RSPP
1487,DEA
1488,WTRG
1489,FCN
1490,UDR
1491,EGLE
1492,NRTSF
1493,JMBA
1494,FCE/A
1495,LAMR
1496,SLG
1497,HUN
1498,UFS
1499,FCSC
1500,WSM
1501,LITE
1502,STLD
1503,ISIL
1504,AROC
1505,NMIH
1506,JAZZ
1507,AGR
1508,BRO
1509,TISUQ
1510,ATRC
1511,NEWS
1512,OI
1513,PRDO
1514,CORI
1515,BR
1516,HRC
1517,CYH
1518,ALJ
1519,ROLL
1520,TLGT
1521,GPRE
1522,MPX
1523,IVTY
1524,VNDA
1525,INGN
1526,VSTO
1527,SCNB
1528,WSBF
1529,ULTA
1530,LPG
1531,FN
1532,1455797D
1533,UMH
1534,GHDX
1535,NXTM
1536,LPNT
1537,ACCO
1538,KTWO
1539,LE
1540,IMS
1541,GRUB
1542,AOS
1543,BKD
1544,HNH
1545,FF
1546,AMC
1547,RAIL
1548,PGRE
1549,HEES
1550,INFN
1551,ELY
1552,BPMC
1553,TDG
1554,AGX
1555,YELP
1556,SPKE
1557,GES
1558,RH
1559,XCOOQ
1560,INST
1561,CORR
1562,CDK
1563,MWA
1564,STBZ
1565,GTLS
1566,LTXB
1567,FIVE
1568,INWK
1569,KRG
1570,JAX
1571,FOLD
1572,FTNT
1573,PGTI
1574,AYR
1575,DEI
1576,DOX
1577,CSFL
1578,PEN
1579,IPHS
1580,HA
1581,ZAGG
1582,OMER
1583,GUID
1584,OC
1585,LLNW
1586,RNET
1587,AIMC
1588,FXCB
1589,GEN
1590,NCMI
1591,1817382D
1592,RUN
1593,BETR
1594,WLH
1595,CSX
1596,1816375D
1597,HF
1598,9898989D
1599,TRN
1600,UFI
1601,MACK
1602,N
1603,ESRT
1604,FDML
1605,RMAX
1606,GRBK
1607,ARE
1608,GLUU
1609,ALIM
1610,GLRE
1611,CLFD
1612,CNK
1613,ENOC
1614,SHOR
1615,CHGG
1616,STAY
1617,ESGC
1618,PRO
1619,KAR
1620,REXXQ
1621,DATA
1622,ECHO
1623,PZN
1624,SSNC
1625,TNGO
1626,ATHN
1627,MHLD
1628,G
1629,PETX
1630,ROIC
1631,ZYNE
1632,TRS
1633,KW
1634,HABT
1635,TITN
1636,NWS
1637,SSYS
1638,ANAC
1639,FIVN
1640,EBSB
1641,TMHC
1642,TMUS
1643,ARWR
1644,MMS
1645,NFBK
1646,1812209D
1647,SQ
1648,NCLH
1649,IRDM
1650,DAN
1651,WGO
1652,SATS
1653,TNDM
1654,PLNT
1655,AIMT
1656,ONVO
1657,NEFF
1658,MORE
1659,MDSO
1660,ZGNX
1661,MG
1662,LOPE
1663,CBOE
1664,RRTS
1665,APOG
1666,CLDPQ
1667,ASCMA
1668,ALPN
1669,ASPS
1670,SREV
1671,GNMX
1672,SKUL
1673,GCAP
1674,AIN
1675,ANTH
1676,OA
1677,TBNK
1678,TMH
1679,ATO
1680,EXAM
1681,BOH
1682,B
1683,BKH
1684,MTRN
1685,CBT
1686,1667208D
1687,CSL
1688,BKU
1689,CDI
1690,9999966D
1691,CIEIQ
1692,ASMB
1693,CHE
1694,CBB
1695,CLC
1696,CARB
1697,CMC
1698,P
1699,CTS
