,Ticker
2975,HOMB
2976,DMND
2977,THS
2978,IRBT
2979,CROX
2980,NTLS
2981,MSCI
2982,RAX
2983,MRIN
2984,CALA
2985,ZEN
2986,9876567D
2987,HOFSQ
2988,LOXO
2989,MOBL
2990,IBCP
2991,FOE
2992,ONB
2993,MTOR
2994,AY
2995,GSTCQ
2996,ULTRF
2997,ALSN
2998,AGNC
2999,GRPN
3000,MTGE
3001,UI
3002,SGYPQ
3003,EPZM
3004,NWBO
3005,ACAD
3006,PIRRQ
3007,DMRC
3008,MLNTQ
3009,PRTA
3010,AON
3011,JMG
3012,HTA
3013,1824551D
3014,DTLK
3015,PPBI
3016,SRC
3017,FANG
3018,KKD
3019,TPCO
3020,BCRHF
3021,RETA
3022,VALU
3023,CSTE
3024,FCFP
3025,DWSN
3026,MJCO
3027,WFBI
3028,CDXC
3029,WBT
3030,LPCN
3031,GCP
3032,FFWM
3033,ACBI
3034,SNDX
3035,OSG
3036,CFNB
3037,AMSC
3038,BOOM
3039,RRR
3040,PNK
3041,STS
3042,AFI
3043,ALJJ
3044,AXGN
3045,STRS
3046,FRBK
3047,TIER
3048,GENC
3049,RCKT
3050,VBTX
3051,FNWB
3052,AVGR
3053,UFAB
3054,AMIC
3055,MEET
3056,EDIT
3057,GWRS
3058,LAYN
3059,MBTF
3060,RIG
3061,HNNA
3062,MITK
3063,MXWL
3064,LSBG
3065,NRIM
3066,WKHS
3067,INBK
3068,QHCCQ
3069,LCNB
3070,DGAS
3071,HBCP
3072,INDT
3073,FMNB
3074,SYN
3075,TTNP
3076,WATT
3077,HRI
3078,LUB
3079,UCP
3080,PVBC
3081,CNTY
3082,YMTX
3083,AVXS
3084,UFPT
3085,TACO
3086,EXA
3087,SMBC
3088,FLNT
3089,HDNG
3090,EGLTQ
3091,USAT
3092,YCB
3093,ACNB
3094,IRIX
3095,PFBI
3096,FBIO
3097,CVLY
3098,GLYC
3099,ARGSQ
3100,CARO
3101,NERV
3102,WGRP
3103,PROV
3104,WLFC
3105,CVCY
3106,ORRF
3107,SHBI
3108,TPHS
3109,SENS
3110,MBRG
3111,CFFI
3112,RLH
3113,MCBC
3114,SRG
3115,GCBC
3116,SMMF
3117,TEAM
3118,ICBK
3119,UA
3120,GDEN
3121,HZNP
3122,SALM
3123,PMBC
3124,SFST
3125,LIND
3126,UNB
3127,AGFS
3128,GAIA
3129,MFSF
3130,DLA
3131,CHCT
3132,WVE
3133,NTLA
3134,NIHD
3135,WNEB
3136,CDXS
3137,BPTH
3138,RUSHB
3139,AMPE
3140,NGVT
3141,ACIA
3142,AQMS
3143,MNOV
3144,SIFI
3145,1556442D
3146,CPXX
3147,ALT
3148,USMD
3149,TPB
3150,NCBS
3151,SONA
3152,FMBH
3153,AP
3154,IESC
3155,UONEK
3156,FBRC
3157,III
3158,COOP
3159,ATHX
3160,ESSA
3161,LFVN
3162,BATRA
3163,BATRK
3164,LSXMA
3165,LSXMK
3166,FWONA
3167,FWONK
3168,SAMG
3169,SITE
3170,FFNW
3171,ERII
3172,RST
3173,ACRX
3174,AXSM
3175,9998522D
3176,CSWI
3177,PJT
3178,RILY
3179,ENZ
3180,ESIO
3181,CRVS
3182,BWFG
3183,PLPM
3184,SHYF
3185,GEF/B
3186,PYXSQ
3187,RSYS
3188,NCIT
3189,CMRE
3190,CIO
3191,NAME
3192,MN
3193,FPI
3194,OLBK
3195,1580477D
3196,SSRG
3197,CIX
3198,WINSF
3199,GSOL
3200,GORO
3201,TLRDQ
3202,MSBI
3203,NATH
3204,NMRX
3205,CHMG
3206,ITIC
3207,CENT
3208,ORM
3209,GNL
3210,AUTO
3211,EIGR
3212,ARA
3213,SILC
3214,COTV
3215,AVNU
3216,SHOS
3217,VRAY
3218,AVXL
3219,GMS
3220,USFD
3221,SCWX
3222,SELB
3223,LGF/B
3224,DVMT
3225,FBK
3226,NTB
3227,LEXEA
3228,SND
3229,HONE
3230,MEDP
3231,PTGX
3232,MRT
3233,FLGT
3234,TRHC
3235,TIVO
3236,EVBG
3237,VSM
3238,ASIX
3239,LKSDQ
3240,DFIN
3241,NTNX
3242,LW
3243,GMRE
3244,CNDT
3245,BOLD
